2009-09-20 23:30:03 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-20 23:30:53 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-20 23:32:42 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-20 23:32:59 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:07:50 Debug: Notice (8): Undefined index:  rolename in [APP\views\resources\view.ctp, line 97]
2009-09-21 00:16:52 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:16:52 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:17:39 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:17:39 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:18:13 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:19:21 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:19:21 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:19:22 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:19:22 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:19:31 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:19:31 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:21:06 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:47 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:51 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:51 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:52 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:52 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:54 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:54 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:22:55 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:25:07 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:25:07 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:25:10 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:40:19 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:40:31 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:40:47 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:44:28 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:48:27 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:51:34 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:52:18 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:52:34 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:52:58 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 00:53:01 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 00:53:11 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 01:39:18 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 01:42:13 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 18:30:22 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 18:33:34 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 19:15:32 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 19:18:09 Debug: Notice (8): Undefined index:  c in [APP\controllers\resources_controller.php, line 51]
2009-09-21 19:18:39 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 19:19:29 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-21 19:20:53 Debug: Notice (8): Undefined variable: admin in [APP\views\layouts\default.ctp, line 55]
2009-09-26 02:31:35 Debug: Notice (8): Undefined offset:  0 in [APP\controllers\resources_controller.php, line 271]
